"","hgnc_symbol","ensembl_gene_id","gene_biotype","chromosome_name","start_position","end_position","strand"
"1","A3GALT2","ENSG00000184389","protein_coding","1",33306766,33321098,-1
"2","AADACL3","ENSG00000188984","protein_coding","1",12716110,12728760,1
"3","AADACL4","ENSG00000204518","protein_coding","1",12644085,12667076,1
"4","AAK1","ENSG00000115977","protein_coding","2",69457997,69674349,-1
"5","ABCA4","ENSG00000198691","protein_coding","1",93992834,94121148,-1
"6","ABCB10","ENSG00000135776","protein_coding","1",229516582,229558707,-1
"7","ABCD3","ENSG00000117528","protein_coding","1",94418389,94518666,1
"8","ABCG5","ENSG00000138075","protein_coding","2",43812472,43838865,-1
"9","ABCG8","ENSG00000143921","protein_coding","2",43831942,43882988,1
"10","ABHD1","ENSG00000143994","protein_coding","2",27123789,27130812,1
"11","ABL2","ENSG00000143322","protein_coding","1",179099330,179229684,-1
"12","ACADM","ENSG00000117054","protein_coding","1",75724431,75787575,1
"13","ACAP3","ENSG00000131584","protein_coding","1",1292390,1309609,-1
"14","ACBD3","ENSG00000182827","protein_coding","1",226144679,226186741,-1
"15","ACBD3-AS1","ENSG00000234478","lncRNA","1",226133245,226155071,1
"16","ACBD6","ENSG00000230124","protein_coding","1",180269653,180502954,-1
"17","ACKR1","ENSG00000213088","protein_coding","1",159204875,159206500,1
"18","ACOT11","ENSG00000162390","protein_coding","1",54542257,54639192,1
"19","ACOT7","ENSG00000097021","protein_coding","1",6264269,6393767,-1
"20","ACP1","ENSG00000143727","protein_coding","2",264140,278283,1
"21","ACP6","ENSG00000162836","protein_coding","1",147629652,147670524,-1
"22","ACTA1","ENSG00000143632","protein_coding","1",229430365,229434104,-1
"23","ACTG2","ENSG00000163017","protein_coding","2",73892314,73919865,1
"24","ACTL8","ENSG00000117148","protein_coding","1",17755333,17827063,1
"25","ACTN2","ENSG00000077522","protein_coding","1",236664141,236764631,1
"26","ACTR1B","ENSG00000291597","protein_coding","HG2275_PATCH",581970,590075,-1
"27","ACTR1B","ENSG00000115073","protein_coding","2",97655939,97664044,-1
"28","ACTR2","ENSG00000138071","protein_coding","2",65227788,65271253,1
"29","ACTRT2","ENSG00000169717","protein_coding","1",3021467,3022903,1
"30","ACYP2","ENSG00000170634","protein_coding","2",53970838,54305300,1
"31","ADAM15","ENSG00000143537","protein_coding","1",155050566,155062775,1
"32","ADAM17","ENSG00000151694","protein_coding","2",9488486,9556732,-1
"33","ADAM30","ENSG00000134249","protein_coding","1",119893533,119896515,-1
